instance,file,ncls,degree,proof_size,time_s,communication_kb
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-009,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-009/biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-009_renamed_prover_zkqrp.result,3079,150,461850,74.7184,344676.6376953125
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002/biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002_renamed_prover_zkqrp.result,980,56,54880,10.8808,64410.71875
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003/biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003_renamed_prover_zkqrp.result,8613,79,680427,123.857,750158.7109375
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-003,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-003/biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-003_renamed_prover_zkqrp.result,3786,73,276378,47.3036,303409.03125
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004/biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004_renamed_prover_zkqrp.result,6846,109,746214,134.998,723822.296875
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003/biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003_renamed_prover_zkqrp.result,6359,126,801234,151.413,735938.359375
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003/biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003_renamed_prover_zkqrp.result,4550,105,477750,84.0413,473524.34375
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-006,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-006/biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-006_renamed_prover_zkqrp.result,4303,206,886418,171.135,561675.8046875
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009/biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009_renamed_prover_zkqrp.result,5513,180,992340,184.643,662926.3125
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-001,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-001/biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-001_renamed_prover_zkqrp.result,21,4,84,2.09099,2242.09375
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005/biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005_renamed_prover_zkqrp.result,3131,166,519746,92.6824,335917.0546875
c4_BMC_p2_k256,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/c4_BMC_p2_k256/c4_BMC_p2_k256_renamed_prover_zkqrp.result,12374,24,296976,60.158,746427.15625
c4_BMC_p2_k512,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/c4_BMC_p2_k512/c4_BMC_p2_k512_renamed_prover_zkqrp.result,26814,37,992118,184.491,1805852.6953125
ken.flash^03.C-f4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/ken.flash^03.C-f4/ken.flash^03.C-f4_renamed_prover_zkqrp.result,1916,60,114960,20.4371,133617.890625
ken.flash^08.C-f3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/ken.flash^08.C-f3/ken.flash^08.C-f3_renamed_prover_zkqrp.result,2470,101,249470,42.6247,246551.6171875
ken.flash^08.C-f4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/ken.flash^08.C-f4/ken.flash^08.C-f4_renamed_prover_zkqrp.result,3864,102,394128,69.7691,399636.671875
texas.ifetch1^3.E-f4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/texas.ifetch1^3.E-f4/texas.ifetch1^3.E-f4_renamed_prover_zkqrp.result,3187,51,162537,28.2894,219159.0390625
vis.prodcell^03.E-f3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/vis.prodcell^03.E-f3/vis.prodcell^03.E-f3_renamed_prover_zkqrp.result,9189,63,578907,100.787,709471.8984375
vis.prodcell^04.E-f3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/vis.prodcell^04.E-f3/vis.prodcell^04.E-f3_renamed_prover_zkqrp.result,9772,71,693812,119.45,797940.171875
vis.prodcell^20.E-f4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim5/benchmark/benchmarks_qrp_every5ish/False/vis.prodcell^20.E-f4/vis.prodcell^20.E-f4_renamed_prover_zkqrp.result,11008,77,847616,141.715,912961.4921875
